2021-12-02 03:40:05 status half-installed sensible-utils:all 0.0.14
2021-12-02 03:40:05 status unpacked sensible-utils:all 0.0.14
2021-12-02 03:40:05 install libmd0:amd64 <none> 1.0.3-3
2021-12-02 03:40:05 status half-installed libmd0:amd64 1.0.3-3
2021-12-02 03:40:05 status unpacked libmd0:amd64 1.0.3-3
2021-12-02 03:40:06 install libbsd0:amd64 <none> 0.11.3-1
2021-12-02 03:40:06 status half-installed libbsd0:amd64 0.11.3-1
2021-12-02 03:40:06 status unpacked libbsd0:amd64 0.11.3-1
2021-12-02 03:40:06 install libedit2:amd64 <none> 3.1-20191231-2+b1
2021-12-02 03:40:06 status half-installed libedit2:amd64 3.1-20191231-2+b1
2021-12-02 03:40:06 status unpacked libedit2:amd64 3.1-20191231-2+b1
2021-12-02 03:40:06 install libcbor0:amd64 <none> 0.5.0+dfsg-2
2021-12-02 03:40:06 status half-installed libcbor0:amd64 0.5.0+dfsg-2
2021-12-02 03:40:06 status unpacked libcbor0:amd64 0.5.0+dfsg-2
2021-12-02 03:40:06 install libfido2-1:amd64 <none> 1.6.0-2
2021-12-02 03:40:06 status half-installed libfido2-1:amd64 1.6.0-2
2021-12-02 03:40:06 status unpacked libfido2-1:amd64 1.6.0-2
2021-12-02 03:40:06 install openssh-client:amd64 <none> 1:8.4p1-5
2021-12-02 03:40:06 status half-installed openssh-client:amd64 1:8.4p1-5
2021-12-02 03:40:06 status unpacked openssh-client:amd64 1:8.4p1-5
2021-12-02 03:40:06 install ucf:all <none> 3.0043
2021-12-02 03:40:06 status half-installed ucf:all 3.0043
2021-12-02 03:40:06 status unpacked ucf:all 3.0043
2021-12-02 03:40:06 install libcurl3-gnutls:amd64 <none> 7.74.0-1.3+b1
2021-12-02 03:40:06 status half-installed libcurl3-gnutls:amd64 7.74.0-1.3+b1
2021-12-02 03:40:06 status unpacked libcurl3-gnutls:amd64 7.74.0-1.3+b1
2021-12-02 03:40:06 install liberror-perl:all <none> 0.17029-1
2021-12-02 03:40:06 status half-installed liberror-perl:all 0.17029-1
2021-12-02 03:40:06 status unpacked liberror-perl:all 0.17029-1
2021-12-02 03:40:06 install git-man:all <none> 1:2.30.2-1
2021-12-02 03:40:06 status half-installed git-man:all 1:2.30.2-1
2021-12-02 03:40:06 status unpacked git-man:all 1:2.30.2-1
2021-12-02 03:40:06 install git:amd64 <none> 1:2.30.2-1
2021-12-02 03:40:06 status half-installed git:amd64 1:2.30.2-1
2021-12-02 03:40:07 status unpacked git:amd64 1:2.30.2-1
2021-12-02 03:40:07 install libapr1:amd64 <none> 1.7.0-6+deb11u1
2021-12-02 03:40:07 status half-installed libapr1:amd64 1.7.0-6+deb11u1
2021-12-02 03:40:07 status unpacked libapr1:amd64 1.7.0-6+deb11u1
2021-12-02 03:40:07 install libaprutil1:amd64 <none> 1.6.1-5
2021-12-02 03:40:07 status half-installed libaprutil1:amd64 1.6.1-5
2021-12-02 03:40:07 status unpacked libaprutil1:amd64 1.6.1-5
2021-12-02 03:40:07 install libserf-1-1:amd64 <none> 1.3.9-10
2021-12-02 03:40:07 status half-installed libserf-1-1:amd64 1.3.9-10
2021-12-02 03:40:07 status unpacked libserf-1-1:amd64 1.3.9-10
2021-12-02 03:40:07 install libutf8proc2:amd64 <none> 2.5.0-1
2021-12-02 03:40:07 status half-installed libutf8proc2:amd64 2.5.0-1
2021-12-02 03:40:07 status unpacked libutf8proc2:amd64 2.5.0-1
2021-12-02 03:40:07 install libsvn1:amd64 <none> 1.14.1-3
2021-12-02 03:40:07 status half-installed libsvn1:amd64 1.14.1-3
2021-12-02 03:40:08 status unpacked libsvn1:amd64 1.14.1-3
2021-12-02 03:40:08 install mercurial-common:all <none> 5.6.1-4
2021-12-02 03:40:08 status half-installed mercurial-common:all 5.6.1-4
2021-12-02 03:40:08 status unpacked mercurial-common:all 5.6.1-4
2021-12-02 03:40:08 install mercurial:amd64 <none> 5.6.1-4
2021-12-02 03:40:08 status half-installed mercurial:amd64 5.6.1-4
2021-12-02 03:40:08 status unpacked mercurial:amd64 5.6.1-4
2021-12-02 03:40:08 install subversion:amd64 <none> 1.14.1-3
2021-12-02 03:40:08 status half-installed subversion:amd64 1.14.1-3
2021-12-02 03:40:08 status unpacked subversion:amd64 1.14.1-3
2021-12-02 03:40:08 startup packages configure
2021-12-02 03:40:08 configure media-types:all 4.0.0 <none>
